ticker,business_date,price,price_return,ma7,ma21,lagged_return
ORCL,2017-04-26,39.72661590576172,-0.0006709473465625893,39.611051831926616,39.4307728721982,-0.0026759378151902657
BTC-USD,2019-12-21,7191.15869140625,-0.0038313365082680573,7087.845633370535,7265.866978236607,0.0022174806840695727
SPY,2019-10-17,277.04156494140625,0.0029490449272793207,274.17723301478793,273.2923554920015,-0.0016061167668177667
NVDA,2023-07-17,46.443119049072266,0.021817082196165627,44.11116027832031,42.83641415550595,-0.011049093219705042
TQQQ,2018-03-19,13.360955238342283,-0.06278237824613331,14.377859251839775,13.70187759399414,-0.0066178612743805765
QQQ,2017-10-17,142.0926513671875,0.001276193333236586,141.25505719866072,139.3746090843564,0.003438115697675048
TQQQ,2024-05-17,62.49892807006836,-0.002219466396283676,60.6661502293178,56.229366665794736,-0.006144652454595612
TQQQ,2020-03-06,18.59239959716797,-0.05241093081417281,19.578915732247488,23.90393774850028,-0.08774892226357112
NVDA,2023-01-13,16.88787841796875,0.023499382659892598,15.714224406651088,15.565560795011974,0.03187307761100322
TQQQ,2024-03-04,61.72015380859375,-0.011880228380241609,59.913750239780974,58.17472385224842,0.04589132681785291
SOXL,2019-03-12,8.25635051727295,0.011663788327494373,8.04210124697004,8.151877403259277,0.07131952708241895
QQQ,2021-08-26,364.7075500488281,-0.006349905563332481,362.15860421316967,360.4294695172991,0.0011483093797688415
NVDA,2022-09-09,14.373857498168944,0.028377595109228437,14.018227440970284,16.39177940005348,0.020125309093025123
BTC-USD,2022-04-27,39241.12109375,0.029478882606909007,39577.228236607145,40617.69029017857,-0.057858267871623625
ORCL,2021-10-06,87.06733703613281,-0.0016394260084350298,85.88533891950335,84.79004887172154,0.024983021308593978
BTC-USD,2018-05-31,7494.169921875,0.011834154516914053,7387.644321986607,7985.308547247024,-0.008841623265862797
BTC-USD,2021-05-24,38705.98046875,0.11318183957815453,38430.35267857143,48029.73418898809,-0.0736893688644572
SPY,2021-08-18,418.9035034179687,-0.010944963191346746,423.4573495047433,420.5826851981027,-0.006555211066028299
SPY,2022-08-30,385.2253723144531,-0.01097790848016078,395.94408743722096,402.70430646623885,-0.006612012798749567
BTC-USD,2022-12-05,16974.826171875,-0.00908673304822849,16954.698660714286,16641.234049479168,0.013144481522908036
NVDA,2023-11-03,44.99139022827149,0.03445510620769232,41.93060084751674,43.500267755417596,0.0279029993986597
ORCL,2024-10-09,177.88999938964844,0.022480953569562256,170.36264038085938,167.19547889346168,0.025886879650766303
SOXL,2018-06-01,11.31967067718506,0.06700544292978283,10.756790024893624,10.086669513157435,-0.021673532181291644
NVDA,2023-12-05,46.556007385253906,0.023293630647214902,47.102618081229075,47.898369743710475,-0.02683621293538263
SOXL,2022-07-13,13.037567138671877,0.024672326461325333,12.715237208775111,13.702524593898229,0.0046475185598782165
TQQQ,2017-04-28,7.672891139984131,0.005696850432332479,7.417399815150669,7.1375323704310825,0.017496864215374774
ORCL,2016-12-22,34.34989547729492,0.0033480148134084065,34.82977785382952,35.100576854887464,-0.004359394253320992
ORCL,2016-12-07,35.54896926879883,0.021535453251151138,34.851189204624724,34.98721858433315,0.012830117958035014
ORCL,2024-06-11,123.25407409667967,-0.004979917482199614,122.20511409214565,121.64746929350353,-0.01127701189085284
ORCL,2021-10-29,91.77030181884766,-0.00301354137527321,92.5956540788923,90.76436614990234,0.0020827590228043036
QQQ,2018-08-20,172.32839965820312,-0.0008893495416174568,172.7393580845424,172.45211138044084,0.00022227619852843716
TQQQ,2018-02-13,11.710956573486328,0.01217378574948147,11.51836177280971,13.084920247395834,0.05597594225793756
SOXL,2019-05-09,10.406580924987791,-0.03558964469481529,11.559798921857562,11.722748029799689,-0.02399829138155174
ORCL,2017-12-07,43.46469497680664,0.0020652518625787764,43.57731737409319,43.865255991617836,0.008959984297510992
QQQ,2017-03-28,124.889404296875,0.0061143736551569905,124.11688232421875,124.16532207670666,0.0016074946483024544
QQQ,2023-03-16,303.3930969238281,0.026360774574427648,292.8207528250558,293.4423261369978,0.005245804119492714
SOXL,2021-04-27,40.485595703125,-0.02061143865911308,39.13691765921457,40.38440068562826,0.05130771580800997
BTC-USD,2022-10-23,19567.0078125,0.018680488353712166,19289.44503348214,19417.48474702381,0.0018631248583989013
